2025-01-17 22:20:13;2025-01-17 22:20:26;facil;2 
2025-01-17 22:20:26;2025-01-17 22:22:00;inter;11 
2025-01-17 22:22:00;2025-01-17 22:25:55;inter;10 
2025-01-17 22:25:55;2025-01-17 22:26:29;facil;4 
2025-01-17 22:26:29;2025-01-17 22:26:51;facil;8 
2025-01-17 22:26:51;2025-01-17 22:27:05;facil;3 
2025-01-17 22:27:05;2025-01-17 22:27:51;inter;5 
2025-01-17 22:27:51;2025-01-17 22:37:37;hard;34 
2025-01-17 22:52:20;2025-01-17 22:53:18;facil;5 
2025-01-17 22:53:18;2025-01-17 22:53:37;facil;3 
2025-01-17 22:53:37;2025-01-17 22:57:40;inter;17 
2025-01-17 22:57:40;2025-01-17 23:04:24;hard;30 
2025-01-17 23:04:24;2025-01-17 23:10:51;hard;15 
2025-01-17 23:10:51;2025-01-17 23:13:54;hard;15 
2025-01-18 22:49:45;2025-01-18 22:50:23;facil;3 
2025-01-18 22:50:23;2025-01-18 22:51:18;facil;6 
2025-01-18 22:51:18;2025-01-18 22:51:34;facil;2 
2025-01-18 22:51:34;2025-01-18 22:52:25;inter;8 
2025-01-18 22:52:25;2025-01-18 22:53:23;inter;7 
2025-01-18 22:53:23;2025-01-18 22:55:28;inter;8 
2025-01-18 22:55:28;2025-01-18 22:56:39;inter;6 
2025-01-18 22:56:39;2025-01-18 22:58:14;inter;10 
2025-01-18 22:58:15;2025-01-18 23:01:04;hard;14 
2025-01-18 23:01:04;2025-01-18 23:03:14;hard;14 
2025-01-18 23:03:14;2025-01-18 23:07:51;hard;13 
2025-01-18 23:07:51;2025-01-18 23:09:08;hard;4 
2025-01-18 23:09:08;2025-01-18 23:12:46;hard;19 
2025-01-18 23:12:46;2025-01-18 23:14:19;facil;15 
2025-01-18 23:14:19;2025-01-18 23:14:47;facil;3 
2025-01-18 23:14:47;2025-01-18 23:20:45;facil;9
2025-02-02 16:18:34;2025-02-02 16:19:30;facil;9 
2025-02-02 16:28:44;2025-02-02 16:30:05;facil;3 
2025-02-02 16:30:05;2025-02-02 16:32:06;inter;6 
2025-02-02 16:32:06;2025-02-02 16:32:49;facil;3 
2025-02-02 16:32:49;2025-02-02 16:33:08;facil;2 
2025-02-02 16:33:08;2025-02-02 16:33:20;facil;2 
2025-02-02 16:33:20;2025-02-02 16:34:07;facil;8 
2025-02-02 16:34:07;2025-02-02 16:40:00;hard;14 
2025-02-02 16:40:00;2025-02-02 16:40:20;facil;3 
2025-01-30 11:27:06;2025-01-30 11:27:23;facil;1 
2025-01-30 11:27:23;2025-01-30 11:31:58;hard;17 
2025-01-30 11:31:58;2025-01-30 11:32:17;facil;3 
2025-01-30 11:32:17;2025-01-30 11:32:53;facil;2 
2025-01-30 11:32:54;2025-01-30 11:33:23;inter;2 
2025-01-30 11:33:23;2025-01-30 11:33:36;facil;2 
2025-01-30 11:33:36;2025-01-30 11:34:14;facil;2 
2025-01-30 11:34:14;2025-01-30 11:34:45;inter;3 
2025-01-30 11:34:45;2025-01-30 11:35:47;facil;6 
2025-01-30 11:35:47;2025-01-30 11:38:11;inter;11
2025-01-30 11:38:11;2025-01-30 11:38:26;facil;2 
2025-01-30 11:38:26;2025-01-30 11:38:40;facil;2 
2025-01-30 15:02:55;2025-01-30 15:03:55;facil;2 
2025-01-30 15:03:55;2025-01-30 15:04:35;facil;3 
2025-01-30 15:04:35;2025-01-30 15:05:05;facil;4 
2025-01-30 15:05:05;2025-01-30 15:07:45;inter;7 
